,APINO,60_Interpol_OIL,90_Interpol_OIL,180_Interpol_OIL,365_Interpol_OIL,730_Interpol_OIL,60_Interpol_GAS,90_Interpol_GAS,180_Interpol_GAS,365_Interpol_GAS,730_Interpol_GAS,60_Interpol_WATER,90_Interpol_WATER,180_Interpol_WATER,365_Interpol_WATER,730_Interpol_WATER
284,49009284880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,49009284890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,49009284900000,0,0,0,0,16244,0,0,0,0,90725,0,0,0,0,19891
287,49009284930000,0,0,12600,34080,59134,0,0,14796,43688,79145,0,0,8351,9830,11263
288,49009285020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,49009285030000,0,0,0,65068,108744,0,0,0,190683,349213,0,0,0,26895,31286
290,49009285040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,49009285110000,18599,22433,51725,91042,126721,391,7432,21099,57610,111371,1623,2305,6134,12180,19218
292,49009285120000,15620,24151,45017,76260,111494,5296,8748,18030,35206,71958,1705,2850,6229,11343,19473
293,49009285180000,0,0,0,0,13080,0,0,0,0,14793,0,0,0,0,19385
294,49009285250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,49009285260000,0,0,0,0,53294,0,0,0,0,139857,0,0,0,0,36118
296,49009285270000,0,0,9992,18990,27431,0,0,11005,24751,36318,0,0,11652,13586,14455
297,49009285290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,49009285300000,12711,18518,32617,61227,92402,5893,9172,17668,52772,112291,2706,3827,6168,10883,15954
299,49009285330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,49009285410000,0,0,0,8849,83373,0,0,0,4106,49813,0,0,0,1994,9387
301,49009285460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,49009285480000,0,0,0,0,41156,0,0,0,0,26473,0,0,0,0,10248
303,49009285550000,0,0,0,0,33853,0,0,0,0,38068,0,0,0,0,12258
304,49009285590000,0,0,0,0,81599,0,0,0,0,485392,0,0,0,0,35479
305,49009285620000,0,0,0,0,17932,0,0,0,0,102252,0,0,0,0,30279
306,49009285630000,0,0,30805,78830,122237,0,0,7536,27782,77913,0,0,4180,10253,21300
307,49009285650000,0,0,0,0,10064,0,0,0,0,61680,0,0,0,0,18627
308,49009285670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,49009285680000,0,0,0,0,48349,0,0,0,0,307019,0,0,0,0,40237
310,49009285700000,0,0,0,0,9278,0,0,0,0,6756,0,0,0,0,11262
311,49009285710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,49009285740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,49009285830000,0,0,0,6744,22640,0,0,0,1137,12250,0,0,0,6764,17813
314,49009285870000,0,0,0,0,9232,0,0,0,0,16031,0,0,0,0,16726
315,49009285920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,49009286100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,49009286120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,49009286130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,49009286200000,0,0,0,0,90773,0,0,0,0,54807,0,0,0,0,26414
320,49009286210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,49009286230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,49009286240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,49009286270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,49009286280000,0,0,0,0,45034,0,0,0,0,44573,0,0,0,0,26793
325,49009286340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,49009286350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,49009286390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
